Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Bentleigh EO - EVC,Bentleigh State EO - EVC,Early Voting Centre,Bentleigh District,,,,417,South,Road,Bentleigh,3204,77 D4,145.035762000141,-37.9329289998787
Brunswick EO - EVC,Brunswick State EO - EVC,Early Voting Centre,Brunswick District,,,,783-787,Sydney,Road,Brunswick,3056,29 H5,144.963415000139,-37.7584659998752
Bulleen EO - EVC,Bulleen EO - EVC,Early Voting Centre,Bulleen District,,"Suite 5, Level 1",,90-94,Tram,Road,Doncaster,3108,47 D1,145.125386000142,-37.7890199998758
Bundoora EO - EVC,Bundoora State EO - EVC,Early Voting Centre,Bundoora District,,,,98-100,Main,Street,Greensborough,3088,20 K2,145.105378000142,-37.7030219998741
Burwood EO - EVC,Burwood State EO - EVC,Early Voting Centre,Burwood District,,,6,154,Highbury,Road,Burwood,3125,61 A7,145.112528000142,-37.8556909998771
Caulfield EO - EVC,Caulfield State EO - EVC,Early Voting Centre,Caulfield District,,,,Units,"5 and 6,15-17 Pakington",Street,St Kilda,3182,2P F8,144.98727200014,-37.8660269998773
Cranbourne EO - EVC,Cranbourne State EO - EVC,Early Voting Centre,Cranbourne District,,"Showroom 2, Cranbourne Home",,398,South Gippsland,Highway,Cranbourne,3977,129 J10,145.278901541812,-38.0847693165484
Dandenong EO - EVC,Dandenong State EO - EVC,Early Voting Centre,Dandenong District,,,,279,Lonsdale,Street,Dandenong,3175,91A E6,145.213846000144,-37.9871799998797
Eltham EO - EVC,Eltham EO - EVC,Early Voting Centre,Eltham District,,,,Level 1/,1 Peel,Street,Eltham,3095,21 G6,145.138676000143,-37.7199689998744
Hastings EO - EVC,Hastings State EO - EVC,Early Voting Centre,Hastings District,,,,Shop 10,108 High,Street,Hastings,3915,154 H11,145.188341000144,-38.3075009998862
Ivanhoe EO - EVC,Ivanhoe State EO - EVC,Early Voting Centre,Ivanhoe District,,,,179,Burgundy,Street,Heidelberg,3084,31 K4,145.063978000141,-37.7561189998751
Mount Waverley EO - EVC,Mount Waverley EO - EVC,Early Voting Centre,Mount Waverley District,,,2,350,Springvale,Road,Glen Waverley,3150,71 C4,145.166374000143,-37.8877039998778
Narre Warren North EO - EVC,Narre Warren North EO - EVC,Early Voting Centre,Narre Warren North District,,,6,74-80,Melverton,Drive,Hallam,3803,96 H2,145.275307000145,-38.0128079998803
Nepean EO - EVC,Nepean State EO - EVC,Early Voting Centre,Nepean District,,,,Shop 13,143 Point Nepean,Road,Dromana,3936,159 J5,144.968463000139,-38.3318089998866
Niddrie EO - EVC,Niddrie EO - EVC,Early Voting Centre,Niddrie District,,,,12,Howes,Street,Airport West,3042,16 A5,144.889941000138,-37.7146149998743
Northcote EO - EVC,Northcote State EO - EVC,Early Voting Centre,Northcote District,,,,885,High,Street,Thornbury,3071,30 F4,145.00122700014,-37.7537519998751
Pascoe Vale EO - EVC,Pascoe Vale EO - EVC,Early Voting Centre,Pascoe Vale District,,,,98,Gaffney,Street,Coburg,3058,17 F10,144.957906000139,-37.7331439998747
Thomastown EO - EVC,Thomastown State EO -EVC,Early Voting Centre,Thomastown District,,,,Suite 2,62 Keon,Parade,Thomastown,3074,8 K12,145.02005300014,-37.6956009998739
Warrandyte EO - EVC,Warrandyte EO - EVC,Early Voting Centre,Warrandyte District,,,2,860,Doncaster,Road,Doncaster East,3109,47 J1,145.144164000143,-37.7872839998757
Benambra EO - EVC,Benambra State EO - EVC,Early Voting Centre,Benambra District,,,,170,High,Street,Wodonga,3690,35 G3,146.888364000178,-36.1216619998424
Bendigo East EO - EVC,Bendigo East EO - EVC,Early Voting Centre,Bendigo East District,,,,"Unit 13a,",172-176 McIvor,Road,Bendigo,3550,44 F6,144.310598000126,-36.7596509998552
Euroa EO - EVC,Euroa State EO - EVC,Early Voting Centre,Euroa District,,,,16-18,Station,Street,Seymour,3660,61 D2,145.138687000143,-37.0237079998605
Lowan EO - EVC,Lowan State EO - EVC,Early Voting Centre,Lowan District,,,,45,Wilson,Street,Horsham,3400,40 E5,142.200260000084,-36.7168609998543
Macedon EO - EVC,Macedon State EO -  EVC,Early Voting Centre,Macedon District,,,,4/17,Goode,Street,Gisborne,3437,678 B3,144.587260583465,-37.4864309082031
Mildura EO - EVC,Mildura State EO - EVC,Early Voting Centre,Mildura District,,,,824,Fifteenth,Street,Mildura,3500,3 D5,142.141931000083,-34.2120119998042
Murray Plains EO - EVC,Murray Plains State EO - EVC,Early Voting Centre,Murray Plains District,,,,22,Sturt,Street,Echuca,3564,586 H3,144.755463000135,-36.1392659998428
Ovens Valley EO - EVC,Ovens Valley State EO - EVC,Early Voting Centre,Ovens Valley District,,,,2a/14-24,Parfitt,Road,Wangaratta,3677,34 G7,146.333038000167,-36.352507999847
Polwarth EO - EVC,Polwarth State EO - EVC,Early Voting Centre,Polwarth District,,,,6,Murray,Street,Colac,3250,92 B7,143.591622000112,-38.3397839998868
Shepparton EO - EVC,Shepparton State EO - EVC,Early Voting Centre,Shepparton District,,,,57,Benalla,Road,Shepparton,3630,32 H8,145.419085000148,-36.3842679998477
South West Coast EO - EVC,South West Coast State EO - EVC,Early Voting Centre,South-West Coast District,,,,48,Kepler,Street,Warrnambool,3280,89J8,142.48103400009,-38.3835389998877
Bayswater EO - EVC,Bayswater EO - EVC,Early Voting Centre,Bayswater District,,,Unit 3,24,Longstaff,Road,Bayswater,3153,64 K2,145.283711000146,-37.8344129998767
Croydon EO - EVC,Croydon EO - EVC,Early Voting Centre,Croydon District,,,Unit 1,37-51,Lusher,Road,Croydon,3136,50 J5,145.278848000146,-37.8034179998761
Ferntree Gully EO - EVC,Ferntree Gully State EO - EVC,Early Voting Centre,Ferntree Gully District,,,,500,Burwood Highway (Corner Tyner,Rd),Wantirna South,3152,64 A12,145.243599116812,-37.8722913915441
Gembrook EO - EVC,Gembrook State EO - EVC,Early Voting Centre,Gembrook District,,,Lot 1,24,Toomuc Valley,Road,Pakenham,3810,317 A4,145.466921883483,-38.0623967248812
Monbulk EO - EVC,Monbulk State EO - EVC,Early Voting Centre,Monbulk District,,,,"Shops 1-4,",232 Ridge,Road,Olinda,3788,66 G5,145.360235000147,-37.847533999877
Rowville EO - EVC,Rowville State EO - EVC,Early Voting Centre,Rowville District,,,,14/5,Kelletts,Road,Rowville,3178,72 K10,145.238298000145,-37.9106359998782
Tarneit EO - EVC,Tarneit State EO - EVC,Early Voting Centre,Tarneit District,,,7,3-4,Desire,Place,Hoppers Crossing,3029,207 C1,144.720689000134,-37.8760519998775
Bass EO - EVC,Bass State EO - EVC,Early Voting Centre,Bass District,,,,1/20,Inverloch,Road,Wonthaggi,3995,102 C3,145.603606000152,-38.6065029998921
Bellarine EO - EVC,Bellarine State EO - EVC,Early Voting Centre,Bellarine District,,,,252-260,Portarlington,Road,Moolap,3224,453 D8,144.411150000128,-38.1638049998833
Gippsland East EO - EVC,Gippsland East State EO - EVC,Early Voting Centre,Gippsland East District,,,Shop 1,80-88,Main,Street,Bairnsdale,3875,84 C7,147.633467000193,-37.8250499998765
Morwell EO - EVC,Morwell State EO - EVC,Early Voting Centre,Morwell District,,,,64,Church,Street,Traralgon,3844,98 A5,146.535939000171,-38.1935099998839
South Barwon EO - EVC,South Barwon EO - EVC,Early Voting Centre,South Barwon District,,,Lot 1,8,Winki,Way,Torquay,3228,493 C12,144.318694000126,-38.3096639998862
St Albans EO - EVC,St Albans EO - EVC,Early Voting Centre,St Albans District,,,,3,St Albans,Road,St Albans,3021,26 A1,144.801136866803,-37.7455159332082
Werribee EO - EVC,Werribee EO - EVC,Early Voting Centre,Werribee District,,,,Shop 3-8,28 Watton,Street,Werribee,3030,205 J8,144.660604000133,-37.901484999878
Melbourne EO - EVC,Melbourne State EO - EVC,Early Voting Centre,Melbourne District,,,,Level 4,530 Collins,Street,Melbourne,3000,2F B6,144.956874000139,-37.8180679998764
Gippsland South - EVC,Gippsland South - EVC,Early Voting Centre,Gippsland South District,,,,337,Raymond,Street,Sale,3850,693 O6,147.065262000181,-38.1062879998821
Albert Park EO - EVC,Albert Park State EO - EVC,Early Voting Centre,Albert Park District,,,,307-309,Clarendon,Street,South Melbourne,3205,2K D2,144.961241000139,-37.8338479998767
Bendigo West EO - EVC,Bendigo West State EO - EVC,Early Voting Centre,Bendigo West District,,,,284-288,High,Street,Golden Square,3555,44 F6,144.262184000125,-36.7705139998554
Box Hill EO - EVC,Box Hill State EO - EVC,Early Voting Centre,Box Hill District,,,,34-36,Prospect,Street,Box Hill,3128,75A C4,145.116941000142,-37.8178679998764
Buninyong EO - EVC,Buninyong EO - EVC,Early Voting Centre,Buninyong District,,,,1/401,Lal Lal,Street,Canadian,3350,76 G3,143.878524000118,-37.5811989998716
Forest Hill EO - EVC,Forest Hill State EO - EVC,Early Voting Centre,Forest Hill District,,,,Building 1,"Ground Floor, 303 Burwood",Highway,Burwood East,3151,62 B7,145.16095921681,-37.8535296915437
Geelong EO - EVC,Geelong State EO - EVC,Early Voting Centre,Geelong District,,,,"Shop 1a,",110-122 High,Street,Belmont,3216,451 J10,144.345441000127,-38.1722589998834
Hawthorn EO - EVC,Hawthorn State EO - EVC,Early Voting Centre,Hawthorn District,,,,Part 2-6,Hall,Street,Hawthorn East,3123,59 E4,145.042139000141,-37.8442969998769
Keysborough EO - EVC,Keysborough EO - EVC,Early Voting Centre,Keysborough District,,,,"Office A,","and Warehouse A, 41-51 Mills",Road,Braeside,3195,88 B9,145.115729000142,-37.9940309998799
Kororoit EO - EVC,Kororoit State EO - EVC,Early Voting Centre,Kororoit District,,,,5/93,Elgar,Road,Derrimut,3030,39 E1,144.772929000135,-37.7884999998758
Mordialloc EO - EVC,Mordialloc EO - EVC,Early Voting Centre,Mordialloc District,,,,14-16,Bond,Street,Mordialloc,3195,87 K9,145.104883000142,-37.9926489998799
Mulgrave EO - EVC,Mulgrave EO - EVC,Early Voting Centre,Mulgrave District,,,,126-128,Browns,Road,Noble Park North,3174,80 H9,145.187262000144,-37.948130999879
Oakleigh EO - EVC,Oakleigh EO - EVC,Early Voting Centre,Oakleigh District,,,,Level 1,20 Atherton,Road,Oakleigh,3166,69F7,145.089438000142,-37.898829999878
Portland - EVC,Portland - EVC,Early Voting Centre,South-West Coast District,,,Unit 2,103-111,Percy,Street,Portland,3305,503 P3,141.603536000072,-38.3448079998869
Preston EO - EVC,Preston EO - EVC,Early Voting Centre,Preston District,,,,508,High Street,Street,Preston,3072,18 G10,145.00517887553,-37.7344636165966
Sandringham EO - EVC,Sandringham State EO - EVC,Early Voting Centre,Sandringham District,,,,5/47,Wangara,Road,Cheltenham,3192,77 D11,145.035579000141,-37.9573639998791
Carrum EO - EVC,Carrum State EO - EVC,Early Voting Centre,Carrum District,,,5,684-700,Frankston-Dandenong,Road,Carrum Downs,3201,98 G1,145.18160076681,-38.0873527082151
Altona EO - EVC,Altona EO - EVC,Early Voting Centre,Altona District,,,,108,Pier,Street,Altona,3018,54 H10,144.830963000137,-37.8662949998773
Swan Hill - EVC,Swan Hill - EVC,Early Voting Centre,Murray Plains District,,,,126,Campbell,Street,Swan Hill,3585,VR 586 H3,143.558847000111,-35.3374739998267
Footscray EO - EVC,Footscray State EO - EVC,Early Voting Centre,Footscray District,,,,Level 2,27 Albert,Street,Footscray,3011,2S E8,144.898132167429,-37.8013894430746
Kew EO - EVC,Kew - EO - EVC,Early Voting Centre,Kew District,,,,"Unit 3,",796 High,Street,Kew East,3102,45 J3,145.058015000141,-37.7962839998759
Narre Warren South EO - EVC,Narre Warren South EO - EVC,Early Voting Centre,Narre Warren South District,,Shop 62 Hampton Park Shopping Square,,,(access via Commerce Drive),,Hampton Park,3976,96 F8,145.266098000145,-38.0331389998807
Ripon EO - EVC,Ripon State EO - EVC,Early Voting Centre,Ripon District,,,,8-12,Scotland,Place,Stawell,3380,56 E2,142.780306000096,-37.0573189998611
Sydenham EO - EVC,Sydenham EO - EVC,Early Voting Centre,Sydenham District,,Watergardens Town Centre Shop R1,,corner,McCubbin Drive and Melton H'way (next to,Red Rooster),Taylors Lakes,3038,3 E12,144.774070000135,-37.6961659998739
Williamstown EO - EVC,Williamstown State EO - EVC,Early Voting Centre,Williamstown District,,,Unit 1,13,Export,Drive,Brooklyn,3012,41 C10,144.855709000137,-37.8195399998764
Essendon EO - EVC,Essendon State EO - EVC,Early Voting Centre,Essendon District,,,,1065-1069,Mt Alexander,Road,Essendon,3040,28F1,144.910647000138,-37.7458899998749
Prahran EO - EVC,Prahran EO- EVC,Early Voting Centre,Prahran District,,,,441,Malvern,Road,South Yarra,3141,2M B10,145.00202100014,-37.847792999877
Brighton EO - EVC,Brighton EO - EVC,Early Voting Centre,Brighton District,,,,441a,Bluff,Road,Hampton,3188,77 A6,145.023530866807,-37.9378417748788
Evelyn EO - EVC,Evelyn State EO - EVC,Early Voting Centre,Evelyn District,,,,,26 Tesmar Circuit (via Ramset,Drive),Chirnside Park,3116,37D8,145.301006000146,-37.7701469998754
Lara EO - EVC,Lara EO - EVC,Early Voting Centre,Lara District,,,,4-6,Beauford,Avenue,Bell Post Hill,3215,441 E4,144.327479000127,-38.1045649998821
Malvern EO - EVC,Malvern  EO - EVC,Early Voting Centre,Malvern District,,,,"Suite 2,",1949 -1957 Malvern,Road,Malvern East,3145,59 K11,145.061464000141,-37.8700719998774
Sunbury EO - EVC,Sunbury State EO - EVC,Early Voting Centre,Sunbury District,,,,61,Horne,Street,Sunbury,3429,382 D5,144.724725000134,-37.5815879998716
Yuroke EO - EVC,Yuroke EO - EVC,Early Voting Centre,Yuroke District,,,,29a,Yellowbox,Drive,Craigieburn,3064,180 C3,144.943145000139,-37.6185339998724
Bright - EVC,Bright - EVC,Early Voting Centre,Ovens Valley District,,,,104c,Gavan,Street,Bright,3741,VR 661 P2,146.961963000179,-36.7268389998545
Melton EO - EVC,Melton State EO - EVC,Early Voting Centre,Melton District,,,,1/16,Harrison,Court,Melton,3337,337 E11,144.598747000132,-37.6940479998739
Melbourne Airport - EVC,Melbourne Airport - EVC,Early Voting Centre,Sunbury District,,Virgin Terminal T3  (Mezzanine Floor),,,Airport,Drive,Melbourne Airport,3045,5 B5,144.848437999014,-37.6712099986115
Cowes - EVC,Cowes - EVC,Early Voting Centre,Bass District,,,,"Shop 2,",42 Thompson,Avenue,Cowes,3922,731 K2,145.238617000145,-38.449387999889
Gippsland South EO - EVC,Gippsland South State EO - EVC,Early Voting Centre,Gippsland South District,,,,40,McCartin,Street,Leongatha,3953,96 H9,145.944725976064,-38.4770310336424
Narracan EO - EVC,Narracan State EO - EVC,Early Voting Centre,Narracan District,,,Unit 4,142,Queen,Street,Warragul,3820,96 G4,145.935833000159,-38.1653479998833
Yan Yean EO - EVC,Yan Yean State EO - EVC,Early Voting Centre,Yan Yean District,,,,57,Church,Street,Whittlesea,3757,246 F8,145.117684000142,-37.5125469998703
Caulfield - EVC,Caulfield - EVC,Early Voting Centre,Caulfield District,,,,863,Glen Huntly,Road,Caulfield South,3162,68 A4,145.02415600014,-37.8870119998777
Queen Victoria - EVC,Drill Hall - EVC,Early Voting Centre,Melbourne District,,,,51-57,Victoria,Street,Melbourne,3000,43 G6,144.960611383473,-37.8066904082095
Hamilton - EVC,Hamilton - EVC,Early Voting Centre,Lowan District,,,,38,Thompson,Street,Hamilton,3300,506 F8,142.02447500008,-37.7451799998749
Melbourne - EVC,St Michael's Uniting Church - EVC,Early Voting Centre,Melbourne District,,,,120,Collins,Street,Melbourne,3000,43 J8,144.969222186562,-37.8143400759587
Pakenham - EVC,Pakenham - EVC,Early Voting Centre,Bass District,,,,45a,Main,Street,Pakenham,3810,317 C7,145.48002700015,-38.0762779998815
Sunshine - EVC,Sunshine Early Voting Centre,Early Voting Centre,St Albans District,,,,T53-T55,Sunshine Plaza 324-328 Hampshire,Road,Sunshine,3020,26H11,144.833692304992,-37.7824570471856
Mordialloc - EVC,Mordialloc - EVC,Early Voting Centre,Mordialloc District,,,,Shop 13-15,450 Nepean,Highway,Chelsea,3196,97 B2,145.116868675142,-38.0547969998811
Mornington - EVC,Mornington - EVC,Early Voting Centre,Mornington District,,,Unit 1,176,Main,Street,Mornington,3931,104 E11,145.040100898998,-38.2214701003453
Wendouree EO - EVC,Wendouree State EO - EVC,Early Voting Centre,Wendouree District,,,,607,La Trobe,Street,Redan,3350,76F3,143.833760000117,-37.5726859998715
Richmond EO - EVC,Richmond EO - EVC,Early Voting Centre,Richmond District,,,,Shop SP61A,61-63 Burnley,Street,Richmond,3121,2H F3,145.00957100014,-37.8137769998763
Mill Park EO - EVC,Mill Park EO - EVC,Early Voting Centre,Mill Park District,,Westfield Plenty Valley Shop MM3,,415,McDonalds Road (next to Australia,Post),Mill Park,3082,183 B12,145.072978983475,-37.6512068415397
Yarrawonga - EVC,Yarrawonga - EVC,Early Voting Centre,Ovens Valley District,,,,"Shop 4,",106 Belmore Street (access via Orr,Street),Yarrawonga,3730,668 D8,146.00505400016,-36.0132009998403
Ringwood EO - EVC,Ringwood State EO - EVC,Early Voting Centre,Ringwood District,,,,259,Maroondah,Highway,Ringwood,3134,49 J8,145.233304000145,-37.8133319998763
Eildon EO - EVC,Eildon State EO - EVC,Early Voting Centre,Eildon District,,,,1995,Warburton,Highway,Launching Place,3139,287 D7,145.568241000151,-37.7797259998756
Mornington EO - EVC,Mornington EO - EVC,Early Voting Centre,Mornington District,,,,28,Milgate,Drive,Mornington,3931,145 K3,145.060795000141,-38.2354649998847
Broadmeadows EO - EVC,Broadmeadows State EO - EVC,Early Voting Centre,Broadmeadows District,,,1,11,Cooper,Street,Campbellfield,3061,180 K10,144.971607000139,-37.6469399998729
Clarinda EO - EVC,Clarinda State EO - EVC,Early Voting Centre,Clarinda District,,,,,"Ground Floor, Building 25,121 Rayhur",Street,Clayton South,3169,79 G5,145.137860508476,-37.9364318332121
Frankston EO - EVC,Frankston State EO - EVC,Early Voting Centre,Frankston District,,,,Suite G4,431 Nepean,Highway,Frankston,3199,100A C6,145.121886000142,-38.1419449998828
Essendon State EO,Essendon State Election Office,Election Office,Essendon District,,,,1065-1069,Mt Alexander,Road,Essendon,3040,28 F1,144.910647000138,-37.7458899998749
Prahran State EO,Prahran State Election Office,Election Office,Prahran District,,,,441,Malvern,Road,South Yarra,3141,2M B10,145.00202100014,-37.847792999877
Cranbourne State EO,Cranbourne State Election Office,Election Office,Cranbourne District,,"Shop 2, Cranbourne Home (near Bunnings)",,398,South Gippsland,Highway,Cranbourne,3977,129 J10,145.278901541812,-38.0847693165484
Yan Yean State EO,Yan Yean State Election Office,Election Office,Yan Yean District,,Level 1 Suite 4D,,61,High,Street,Wallan,3756,646 A10,144.97884300014,-37.4143329998683
Bendigo East State EO,Bendigo East State Election Office,Election Office,Bendigo East District,,,,"Unit 13a,",172-176 McIvor,Road,Bendigo,3550,44 F6,144.310598000126,-36.7596509998552
Lara State EO,Lara State Election Office,Election Office,Lara District,,,,4-6,Beauford,Avenue,Bell Post Hill,3215,441 E4,144.327479000127,-38.1045649998821
Macedon State EO,Macedon State Election Office,Election Office,Macedon District,,,,4/17,Goode,Street,Gisborne,3437,678 B3,144.587260583465,-37.4864309082031
Evelyn State EO,Evelyn State Election Office,Election Office,Evelyn District,,,,,26 Tesmar Circuit (via Ramset,Drive),Chirnside Park,3116,37 D8,145.301006000146,-37.7701469998754
Buninyong State EO,Buninyong State Election Office,Election Office,Buninyong District,,,,1/401,Lal Lal,Street,Canadian,3350,76 G3,143.878524000118,-37.5811989998716
Brunswick State EO,Brunswick State Election Office,Election Office,Brunswick District,,,,783-787,Sydney,Road,Brunswick,3056,29 H5,144.963415000139,-37.7584659998752
Williamstown State EO,Williamstown State Election Office,Election Office,Williamstown District,,,Unit 1,13,Export,Drive,Brooklyn,3012,41 C10,144.855709000137,-37.8195399998764
Mill Park State EO,Mill Park State Election Office,Election Office,Mill Park District,,Westfield Plenty Valley Shop MM3,,415,McDonalds,Road,Mill Park,3082,183 B12,145.072978983475,-37.6512068415397
Malvern State EO,Malvern State Election Office,Election Office,Malvern District,,,,"Suite 2,",1949 -1957 Malvern,Road,Malvern East,3145,59K11,145.061464000141,-37.8700719998774
Yuroke State EO,Yuroke State Election Office,Election Office,Yuroke District,,,,29a,Yellowbox,Drive,Craigieburn,3064,180 C3,144.943145000139,-37.6185339998724
Sunbury State EO,Sunbury State Election Office,Election Office,Sunbury District,,,,61,Horne,Street,Sunbury,3429,382 D5,144.724725000134,-37.5815879998716
Richmond State EO,Richmond State Election Office,Election Office,Richmond District,,,,Shop SP61A,61-63 Burnley,Street,Richmond,3121,2H F3,145.00957100014,-37.8137769998763
Narre Warren South State EO,Narre Warren South State Election Office,Election Office,Narre Warren South District,,Shop 62 Hampton Park Shopping Square,,,(access via Commerce Drive),,Hampton Park,3976,96 F8,145.266098000145,-38.0331389998807
Sydenham State EO,Sydenham State Election Office,Election Office,Sydenham District,,Watergardens Town Centre Shop R1,,corner,McCubbin Drive and Melton,Highway,Taylors Lakes,3038,3 E12,144.774070000135,-37.6961659998739
Kew State EO,Kew State Election Office,Election Office,Kew District,,,,"Unit 3,",796 High,Street,Kew East,3102,45 J3,145.058015000141,-37.7962839998759
Benambra State EO,Benambra State Election Office,Election Office,Benambra District,,,,170,High,Street,Wodonga,3690,35 G3,146.888364000178,-36.1216619998424
Bulleen State EO,Bulleen State Election Office,Election Office,Bulleen District,,,,Suite 5,"Level 1, 90-94, Tram",Road,Doncaster,3108,47 D1,145.125386000142,-37.7890199998758
St Albans State EO,St Albans State Election Office,Election Office,St Albans District,,,,3,St Albans,Road,St Albans,3021,26 A1,144.801136866803,-37.7455159332082
Monbulk State EO,Monbulk State Election Office,Election Office,Monbulk District,,,,"Shops 1-4,",232 Ridge,Road,Olinda,3788,66 G5,145.360235000147,-37.847533999877
Ringwood State EO,Ringwood State Election Office,Election Office,Ringwood District,,,,259,Maroondah,Highway,Ringwood,3134,49 J8,145.233304000145,-37.8133319998763
Footscray State EO,Footscray State Election Office,Election Office,Footscray District,,,,Level 2,27 Albert,Street,Footscray,3011,2S E8,144.898132167429,-37.8013894430746
Ripon State EO,Ripon State Election Office.,Election Office,Ripon District,,,,8-12,Scotland,Place,Stawell,3380,56 E2,142.780306000096,-37.0573189998611
Bendigo West State EO,Bendigo West State Election Office,Election Office,Bendigo West District,,,,284-288,High,Street,Golden Square,3555,44 F6,144.262184000125,-36.7705139998554
Brighton State EO,Brighton State Election Office,Election Office,Brighton District,,,,441a,Bluff,Road,Hampton,3188,77 A6,145.023530866807,-37.9378417748788
Broadmeadows State EO,Broadmeadows State Election Office.,Election Office,Broadmeadows District,,,1,11,Cooper,Street,Campbellfield,3061,180 K10,144.971607000139,-37.6469399998729
Forest Hill State EO,Forest Hill State Election Office,Election Office,Forest Hill District,,,,Building 1,"Ground Floor, 303 Burwood",Highway,Burwood East,3151,62 B7,145.16095921681,-37.8535296915437
Keysborough State EO,Keysborough State Election Office,Election Office,Keysborough District,,,,Office A,"and Warehouse A, 41-51 Mills",Road,Braeside,3195,88 B9,145.115729000142,-37.9940309998799
Albert Park State EO,Albert Park State Election Office,Election Office,Albert Park District,,,,307-309,Clarendon,Street,South Melbourne,3205,2K D2,144.961241000139,-37.8338479998767
Clarinda State EO,Clarinda State Election Office,Election Office,Clarinda District,,,,,"Ground Floor, Building 25, 121 Rayhur",Street,Clayton South,3169,79 G5,145.137860508476,-37.9364318332121
Hawthorn State EO,Hawthorn State Election Office,Election Office,Hawthorn District,,,,Part 2-6,Hall,Street,Hawthorn East,3123,59 E4,145.042139000141,-37.8442969998769
Mulgrave State EO,Mulgrave State Election Office.,Election Office,Mulgrave District,,,,126-128,Browns,Road,Noble Park North,3174,80 H9,145.187262000144,-37.948130999879
Oakleigh State EO,Oakleigh State Election Office,Election Office,Oakleigh District,,,,Level 1,20 Atherton,Road,Oakleigh,3166,69F7,145.089438000142,-37.898829999878
Sandringham State EO,Sandringham State Election Office,Election Office,Sandringham District,,,,5/47,Wangara,Road,Cheltenham,3192,77 D11,145.035579000141,-37.9573639998791
Box Hill State EO,Box Hill State Election Office,Election Office,Box Hill District,,,,34-36,Prospect,Street,Box Hill,3128,75A C4,145.116941000142,-37.8178679998764
Frankston State EO,Frankston State Election Office,Election Office,Frankston District,,,,Suite G4,431 Nepean,Highway,Frankston,3199,100A C6,145.121886000142,-38.1419449998828
Gembrook State EO,Gembrook State Election Office.,Election Office,Gembrook District,,,Lot 1,24,Toomuc Valley,Road,Pakenham,3810,317 A4,145.466921883483,-38.0623967248812
Hastings State EO,Hastings State Election Office,Election Office,Hastings District,,,,Shop 10,108 High,Street,Hastings,3915,154 H11,145.188341000144,-38.3075009998862
Melbourne State EO,Melbourne State Election Office,Election Office,Melbourne District,,,,Level 4,530 Collins,Street,Melbourne,3000,2F B6,144.956874000139,-37.8180679998764
Mildura State EO,Mildura State Election Office,Election Office,Mildura District,,,,824,Fifteenth,Street,Mildura,3500,3 D5,142.141931000083,-34.2120119998042
Mount Waverley State EO,Mount Waverley State Election Office,Election Office,Mount Waverley District,,,2,350,Springvale,Road,Glen Waverley,3150,71 C4,145.166374000143,-37.8877039998778
Nepean State EO,Nepean State Election Office,Election Office,Nepean District,,,,Shop 13,143 Point Nepean,Road,Dromana,3936,159 J5,144.968463000139,-38.3318089998866
Pascoe Vale State EO,Pascoe Vale State Election Office,Election Office,Pascoe Vale District,,,,98,Gaffney,Street,Coburg,3058,17 F10,144.957906000139,-37.7331439998747
Caulfield State EO,Caulfield State Election Office,Election Office,Caulfield District,,,,Units,"5 and 6,15-17 Pakington",Street,St Kilda,3182,2P F8,144.98727200014,-37.8660269998773
Gippsland East State EO,Gippsland East State Election Office,Election Office,Gippsland East District,,,Shop 1,80-88,Main,Street,Bairnsdale,3875,84 C7,147.633467000193,-37.8250499998765
Murray Plains State EO,Murray Plains State Election Office,Election Office,Murray Plains District,,,,22,Sturt,Street,Echuca,3564,31 E4,144.755463000135,-36.1392659998428
Bundoora State EO,Bundoora State Election Office,Election Office,Bundoora District,,,,98-100,Main,Street,Greensborough,3088,20 K2,145.105378000142,-37.7030219998741
Bentleigh State EO,Bentleigh State Election Office,Election Office,Bentleigh District,,,,417,South,Road,Bentleigh,3204,77 D4,145.035762000141,-37.9329289998787
Kororoit State EO,Kororoit State Election Office,Election Office,Kororoit District,,,,5/93,Elgar,Road,Derrimut,3030,39 E1,144.772929000135,-37.7884999998758
Werribee State EO,Werribee State Election Office,Election Office,Werribee District,,,,Shop 3-8,28 Watton,Street,Werribee,3030,205 J8,144.660604000133,-37.901484999878
Northcote State EO,Northcote State Election Office,Election Office,Northcote District,,,,885,High,Street,Thornbury,3071,30 F4,145.00122700014,-37.7537519998751
Lowan State EO,Lowan State Election Office,Election Office,Lowan District,,,,45,Wilson,Street,Horsham,3400,40 E5,142.200260000084,-36.7168609998543
Narracan State EO,Narracan State Election Office,Election Office,Narracan District,,,Unit 4,142,Queen,Street,Warragul,3820,96 G4,145.935833000159,-38.1653479998833
Wendouree State EO,Wendouree State Election Office,Election Office,Wendouree District,,,,607,La Trobe,Street,Redan,3350,76F3,143.833760000117,-37.5726859998715
Bellarine State EO,Bellarine State Election Office,Election Office,Bellarine District,,,,252-260,Portarlington,Road,Moolap,3224,453 D8,144.411150000128,-38.1638049998833
Geelong State EO,Geelong State Election Office,Election Office,Geelong District,,,,"Shop 1a,",110-122 High,Street,Belmont,3216,451 J10,144.345441000127,-38.1722589998834
Preston State EO,Preston State Election Office.,Election Office,Preston District,,,,508,High,Street,Preston,3072,18 G10,145.00517887553,-37.7344636165966
